"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","23.9.158.105","10.1.30.131","SSLv2","1514",""
"2","0.000001","23.9.158.105","10.1.30.131","SSLv2","1514",""
"3","0.000002","23.9.158.105","10.1.30.131","SSLv2","1514",""
"4","0.000003","23.9.158.105","10.1.30.131","SSLv2","1514",""
"5","0.000194","10.1.30.131","23.9.158.105","TCP","66","54829  >  443 [ACK] Seq=1 Ack=5793 Win=65535 Len=0 TSval=1833074965 TSecr=1263551650"
"6","0.010891","23.9.158.105","10.1.30.131","SSLv2","1514",""
"7","0.010892","23.9.158.105","10.1.30.131","SSLv2","1514",""
"8","0.010893","23.9.158.105","10.1.30.131","SSLv2","1514",""
"9","0.010894","23.9.158.105","10.1.30.131","SSLv2","1514",""
"10","0.011015","10.1.30.131","23.9.158.105","TCP","66","54829  >  443 [ACK] Seq=1 Ack=11585 Win=65535 Len=0 TSval=1833074976 TSecr=1263551662"
"11","0.022554","23.9.158.105","10.1.30.131","SSLv2","1514",""
"12","0.022555","23.9.158.105","10.1.30.131","SSLv2","1514","Encrypted Data"
"13","0.022556","23.9.158.105","10.1.30.131","SSLv2","1514",""
"14","0.022559","23.9.158.105","10.1.30.131","SSLv2","1514",""
"15","0.022703","10.1.30.131","23.9.158.105","TCP","66","54829  >  443 [ACK] Seq=1 Ack=17377 Win=65535 Len=0 TSval=1833074988 TSecr=1263551673"
"16","0.035136","23.9.158.105","10.1.30.131","SSLv2","1514",""
"17","0.035137","23.9.158.105","10.1.30.131","SSLv2","1514",""
"18","0.035138","23.9.158.105","10.1.30.131","SSLv2","1514",""
"19","0.035139","23.9.158.105","10.1.30.131","SSLv2","1514",""
"20","0.035326","10.1.30.131","23.9.158.105","TCP","66","54829  >  443 [ACK] Seq=1 Ack=23169 Win=65535 Len=0 TSval=1833075000 TSecr=1263551685"
"23","0.048004","23.9.158.105","10.1.30.131","SSLv2","1514",""
"24","0.048006","23.9.158.105","10.1.30.131","SSLv2","1514",""
"25","0.048006","23.9.158.105","10.1.30.131","SSLv2","1514",""
"26","0.048007","23.9.158.105","10.1.30.131","SSLv2","1514",""
"27","0.048167","10.1.30.131","23.9.158.105","TCP","66","54829  >  443 [ACK] Seq=1 Ack=28961 Win=65535 Len=0 TSval=1833075013 TSecr=1263551697"
"28","0.060033","23.9.158.105","10.1.30.131","SSLv2","1514",""
"29","0.060036","23.9.158.105","10.1.30.131","SSLv2","1514",""
"30","0.060252","10.1.30.131","23.9.158.105","TCP","66","54829  >  443 [ACK] Seq=1 Ack=31857 Win=65535 Len=0 TSval=1833075025 TSecr=1263551711"
"31","0.060888","23.9.158.105","10.1.30.131","SSLv2","1514",""
"32","0.060890","23.9.158.105","10.1.30.131","SSLv2","1514",""
"33","0.060892","23.9.158.105","10.1.30.131","SSLv2","1514",""
"34","0.060893","23.9.158.105","10.1.30.131","SSLv2","1514",""
"35","0.060894","23.9.158.105","10.1.30.131","SSLv2","1514",""
"36","0.060895","23.9.158.105","10.1.30.131","SSLv2","1514",""
"37","0.060896","23.9.158.105","10.1.30.131","SSLv2","1514",""
"38","0.060898","23.9.158.105","10.1.30.131","SSLv2","1514",""
"39","0.060899","23.9.158.105","10.1.30.131","SSLv2","1514",""
"40","0.060900","23.9.158.105","10.1.30.131","SSLv2","1514",""
"41","0.060902","23.9.158.105","10.1.30.131","SSLv2","1514",""
"42","0.060902","23.9.158.105","10.1.30.131","SSLv2","1514",""
"43","0.060903","23.9.158.105","10.1.30.131","SSLv2","1514",""
"44","0.060905","23.9.158.105","10.1.30.131","SSLv2","1514",""
"45","0.060906","23.9.158.105","10.1.30.131","SSLv2","1514",""
"46","0.060908","23.9.158.105","10.1.30.131","SSLv2","1514",""
"47","0.060909","23.9.158.105","10.1.30.131","SSLv2","1514","Encrypted Data"
"48","0.060910","23.9.158.105","10.1.30.131","SSLv2","1514",""
"49","0.060911","23.9.158.105","10.1.30.131","SSLv2","1514",""
"50","0.060912","23.9.158.105","10.1.30.131","SSLv2","1514",""
"51","0.060913","23.9.158.105","10.1.30.131","SSLv2","1514",""
"52","0.060915","23.9.158.105","10.1.30.131","SSLv2","1514",""
"53","0.060916","23.9.158.105","10.1.30.131","SSLv2","1514",""
"54","0.060918","23.9.158.105","10.1.30.131","SSLv2","1514",""
"55","0.060919","23.9.158.105","10.1.30.131","SSLv2","1514",""
"56","0.060920","23.9.158.105","10.1.30.131","SSLv2","1514",""
"57","0.060921","23.9.158.105","10.1.30.131","TCP","1514","443  >  54829 [ACK] Seq=69505 Ack=1 Win=750 Len=1448 TSval=1263551711 TSecr=1833075013"
"58","0.060922","23.9.158.105","10.1.30.131","SSLv2","1514",""
"59","0.060923","23.9.158.105","10.1.30.131","SSLv2","1514",""
"60","0.060925","23.9.158.105","10.1.30.131","SSLv2","1514",""
"61","0.060926","23.9.158.105","10.1.30.131","SSLv2","1514",""
"62","0.060927","23.9.158.105","10.1.30.131","SSLv2","1514",""
"63","0.061668","23.9.158.105","10.1.30.131","SSLv2","1514",""
"64","0.061670","23.9.158.105","10.1.30.131","SSLv2","1514",""
"65","0.061672","23.9.158.105","10.1.30.131","SSLv2","1514",""
"66","0.061673","23.9.158.105","10.1.30.131","SSLv2","1514",""
"67","0.061674","23.9.158.105","10.1.30.131","SSLv2","1514",""
"68","0.061675","23.9.158.105","10.1.30.131","SSLv2","1514",""
"69","0.061676","23.9.158.105","10.1.30.131","SSLv2","1514",""
"70","0.061678","23.9.158.105","10.1.30.131","SSLv2","1514",""
"71","0.061679","23.9.158.105","10.1.30.131","SSLv2","1514",""
"72","0.061680","23.9.158.105","10.1.30.131","SSLv2","1514",""
"73","0.061682","23.9.158.105","10.1.30.131","SSLv2","1514",""
"74","0.061683","23.9.158.105","10.1.30.131","SSLv2","1514",""
"75","0.061684","23.9.158.105","10.1.30.131","SSLv2","1514",""
"76","0.061685","23.9.158.105","10.1.30.131","SSLv2","1514",""
"77","0.061686","23.9.158.105","10.1.30.131","SSLv2","1514",""
"78","0.061688","23.9.158.105","10.1.30.131","SSLv2","1514",""
"79","0.061689","23.9.158.105","10.1.30.131","SSLv2","1514",""
"80","0.061690","23.9.158.105","10.1.30.131","SSLv2","1514",""
"81","0.061692","23.9.158.105","10.1.30.131","SSLv2","1514",""
"82","0.061692","23.9.158.105","10.1.30.131","SSLv2","1514",""
"83","0.061693","23.9.158.105","10.1.30.131","SSLv2","1514",""
"84","0.061695","23.9.158.105","10.1.30.131","SSLv2","1514","Encrypted Data"
"85","0.061696","23.9.158.105","10.1.30.131","SSLv2","1514",""
"86","0.061698","23.9.158.105","10.1.30.131","SSLv2","1514",""
"87","0.061700","23.9.158.105","10.1.30.131","SSLv2","1514",""
"88","0.061701","23.9.158.105","10.1.30.131","SSLv2","1514",""
"89","0.061703","23.9.158.105","10.1.30.131","SSLv2","1514",""
"90","0.061704","23.9.158.105","10.1.30.131","SSLv2","1514",""
"91","0.061705","23.9.158.105","10.1.30.131","SSLv2","1514",""
"92","0.061707","23.9.158.105","10.1.30.131","SSLv2","1514",""
"93","0.061795","10.1.30.131","23.9.158.105","TCP","66","54829  >  443 [ACK] Seq=1 Ack=78193 Win=65535 Len=0 TSval=1833075026 TSecr=1263551711"
"94","0.062019","23.9.158.105","10.1.30.131","SSLv2","1514",""
"95","0.062022","23.9.158.105","10.1.30.131","SSLv2","1514",""
"96","0.062023","23.9.158.105","10.1.30.131","SSLv2","1514","Encrypted Data"
"97","0.062024","23.9.158.105","10.1.30.131","SSLv2","1514",""
"98","0.062026","23.9.158.105","10.1.30.131","SSLv2","1514",""
"99","0.062027","23.9.158.105","10.1.30.131","SSLv2","1514",""
"100","0.062029","23.9.158.105","10.1.30.131","SSLv2","1514",""
"101","0.062031","23.9.158.105","10.1.30.131","SSLv2","1514",""
"102","0.062032","23.9.158.105","10.1.30.131","SSLv2","1514",""
"103","0.062034","23.9.158.105","10.1.30.131","TCP","1514","443  >  54829 [ACK] Seq=134665 Ack=1 Win=750 Len=1448 TSval=1263551712 TSecr=1833075013"
"104","0.062035","23.9.158.105","10.1.30.131","SSLv2","1514",""
"105","0.062037","23.9.158.105","10.1.30.131","SSLv2","1514",""
"106","0.062039","23.9.158.105","10.1.30.131","SSLv2","1514",""
"107","0.062040","23.9.158.105","10.1.30.131","SSLv2","1514",""
"108","0.062041","23.9.158.105","10.1.30.131","SSLv2","1514",""
"109","0.062043","23.9.158.105","10.1.30.131","SSLv2","1514",""
"110","0.062044","23.9.158.105","10.1.30.131","SSLv2","1514",""
"111","0.062047","23.9.158.105","10.1.30.131","SSLv2","1514",""
"112","0.062048","23.9.158.105","10.1.30.131","SSLv2","1514",""
"113","0.062050","23.9.158.105","10.1.30.131","SSLv2","1514",""
