"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.279200","172.253.122.93","100.86.243.187","TLSv1.2","144","Application Data"
"4","0.279295","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=79 Win=8281 Len=0 TSval=758534791 TSecr=960944173"
"5","0.280230","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"6","0.280231","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"7","0.280232","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"8","0.280233","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"9","0.280233","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"10","0.280234","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"11","0.280235","172.253.122.93","100.86.243.187","TLSv1.2","349","Application Data"
"12","0.280236","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"13","0.280236","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"14","0.280237","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"15","0.280238","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"16","0.280238","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"17","0.280239","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"18","0.280240","172.253.122.93","100.86.243.187","TLSv1.2","468","Application Data"
"19","0.280240","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"20","0.280241","172.253.122.93","100.86.243.187","TLSv1.2","1411","Application Data"
"21","0.280242","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"22","0.280243","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"23","0.280244","172.253.122.93","100.86.243.187","TLSv1.2","137","Application Data"
"24","0.280244","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"25","0.280245","172.253.122.93","100.86.243.187","TLSv1.2","1265","Application Data"
"26","0.280246","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"27","0.280247","172.253.122.93","100.86.243.187","TLSv1.2","1363","Application Data"
"28","0.280248","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"29","0.280248","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"30","0.280249","172.253.122.93","100.86.243.187","TLSv1.2","924","Application Data"
"31","0.280250","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"32","0.280250","172.253.122.93","100.86.243.187","TLSv1.2","1269","Application Data"
"33","0.280895","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=34737 Win=8282 Len=0 TSval=758534792 TSecr=960944202"
"34","0.280952","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"35","0.280952","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"36","0.280953","172.253.122.93","100.86.243.187","TLSv1.2","460","Application Data"
"37","0.280953","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"38","0.280954","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"39","0.280955","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"40","0.280956","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"41","0.280957","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"42","0.280957","172.253.122.93","100.86.243.187","TLSv1.2","1362","Application Data"
"43","0.280959","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"44","0.280959","172.253.122.93","100.86.243.187","TLSv1.2","938","Application Data"
"45","0.280960","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"46","0.281022","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=49899 Win=8045 Len=0 TSval=758534792 TSecr=960944204"
"47","0.281096","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"48","0.281097","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"49","0.281140","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=52699 Win=8051 Len=0 TSval=758534792 TSecr=960944204"
"50","0.281231","100.86.243.187","172.253.122.93","TCP","66","[TCP Window Update] 56045  >  443 [ACK] Seq=1 Ack=52699 Win=8282 Len=0 TSval=758534792 TSecr=960944204"
"51","0.282721","172.253.122.93","100.86.243.187","TLSv1.2","1350","Application Data"
"52","0.282723","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"53","0.282723","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"54","0.282724","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"55","0.282729","172.253.122.93","100.86.243.187","TLSv1.2","138","Application Data"
"56","0.282729","172.253.122.93","100.86.243.187","TLSv1.2","101","Application Data"
"57","0.282730","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"58","0.282730","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"59","0.282731","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"60","0.282732","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"61","0.282732","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"62","0.282733","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"63","0.282733","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"64","0.282734","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"65","0.282735","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"66","0.282735","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"67","0.282736","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"68","0.282737","172.253.122.93","100.86.243.187","TLSv1.2","354","Application Data"
"69","0.282855","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=68090 Win=8041 Len=0 TSval=758534795 TSecr=960944207"
"70","0.283176","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=73978 Win=8282 Len=0 TSval=758534795 TSecr=960944207"
"71","0.284051","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"72","0.284053","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"73","0.284054","172.253.122.93","100.86.243.187","TLSv1.2","396","Application Data"
"74","0.284055","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"75","0.284056","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"76","0.284057","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"77","0.284057","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"78","0.284058","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"79","0.284059","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"80","0.284060","172.253.122.93","100.86.243.187","TLSv1.2","648","Application Data"
"81","0.284060","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"82","0.284061","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"83","0.284062","172.253.122.93","100.86.243.187","TLSv1.2","676","Application Data"
"84","0.284062","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"85","0.284063","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"86","0.284064","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"87","0.284065","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"88","0.284065","172.253.122.93","100.86.243.187","TLSv1.2","300","Application Data"
"89","0.284066","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"90","0.284067","172.253.122.93","100.86.243.187","TLSv1.2","1326","Application Data"
"91","0.284067","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"92","0.284069","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"93","0.284069","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"94","0.284070","172.253.122.93","100.86.243.187","TLSv1.2","217","Application Data"
"95","0.284509","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=102345 Win=8282 Len=0 TSval=758534796 TSecr=960944208"
"96","0.285210","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"97","0.285212","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"98","0.285212","172.253.122.93","100.86.243.187","TLSv1.2","249","Application Data"
"99","0.285213","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"100","0.285214","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"101","0.285214","172.253.122.93","100.86.243.187","TLSv1.2","484","Application Data"
"102","0.285215","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"103","0.285216","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"104","0.285216","172.253.122.93","100.86.243.187","TLSv1.2","925","Application Data"
"105","0.285217","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"106","0.285218","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"107","0.285219","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"108","0.285219","172.253.122.93","100.86.243.187","TLSv1.2","758","Application Data"
"109","0.285220","172.253.122.93","100.86.243.187","TLSv1.2","1439","Application Data"
"110","0.285221","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"111","0.285221","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"112","0.285222","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"113","0.285223","172.253.122.93","100.86.243.187","TLSv1.2","755","Application Data"
"114","0.285224","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"115","0.285224","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"116","0.285225","172.253.122.93","100.86.243.187","TLSv1.2","249","Application Data"
"117","0.285225","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"118","0.285226","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"119","0.285226","172.253.122.93","100.86.243.187","TLSv1.2","178","Application Data"
"120","0.285227","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"121","0.285228","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"122","0.285284","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"123","0.285286","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"124","0.285564","172.253.122.93","100.86.243.187","TLSv1.2","284","Application Data"
"125","0.285565","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"126","0.285567","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"127","0.285569","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"128","0.285621","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"129","0.285622","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"130","0.285853","172.253.122.93","100.86.243.187","TLSv1.2","158","Application Data"
"131","0.285853","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"132","0.285855","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"133","0.285857","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"134","0.285883","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=142072 Win=8282 Len=0 TSval=758534797 TSecr=960944210"
"135","0.285928","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=146364 Win=8282 Len=0 TSval=758534797 TSecr=960944213"
"136","0.286094","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"137","0.286095","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"138","0.286117","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"139","0.286118","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"140","0.286216","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=151964 Win=8282 Len=0 TSval=758534797 TSecr=960944213"
"141","0.287683","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"142","0.287685","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"143","0.287686","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"144","0.287687","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"145","0.287895","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=157564 Win=8282 Len=0 TSval=758534800 TSecr=960944214"
"146","0.289477","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"147","0.289478","172.253.122.93","100.86.243.187","TLSv1.2","1202","Application Data"
"148","0.289479","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"149","0.289480","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"150","0.289481","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"151","0.289482","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"152","0.289483","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"153","0.289483","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"154","0.289484","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"155","0.289485","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"156","0.289486","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"157","0.289486","172.253.122.93","100.86.243.187","TLSv1.2","299","Application Data"
"158","0.289487","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"159","0.289487","172.253.122.93","100.86.243.187","TLSv1.2","1061","Application Data, Application Data, Application Data"
"160","0.289488","172.253.122.93","100.86.243.187","TLSv1.2","105","Application Data"
"161","0.289908","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1 Ack=175367 Win=8282 Len=0 TSval=758534801 TSecr=960944214"
"162","0.289975","100.86.243.187","172.253.122.93","TLSv1.2","105","Application Data"
"163","0.300961","172.253.122.93","100.86.243.187","TCP","66","443  >  56045 [ACK] Seq=175367 Ack=40 Win=1458 Len=0 TSval=960944241 TSecr=758534801"
"164","0.303337","100.86.243.187","172.253.122.93","TCP","1466","56045  >  443 [ACK] Seq=40 Ack=175367 Win=8282 Len=1400 TSval=758534815 TSecr=960944241 [TCP PDU reassembled in 165]"
"165","0.303376","100.86.243.187","172.253.122.93","TLSv1.2","590","Application Data"
"166","0.314242","172.253.122.93","100.86.243.187","TCP","78","[TCP Dup ACK 163#1] 443  >  56045 [ACK] Seq=175367 Ack=40 Win=1458 Len=0 TSval=960944255 TSecr=758534801 SLE=1440 SRE=1964"
"167","0.314243","172.253.122.93","100.86.243.187","TCP","66","443  >  56045 [ACK] Seq=175367 Ack=1964 Win=1451 Len=0 TSval=960944255 TSecr=758534815"
"168","0.370711","172.253.122.93","100.86.243.187","TLSv1.2","623","Application Data"
"169","0.370901","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1964 Ack=175924 Win=8273 Len=0 TSval=758534883 TSecr=960944311"
"170","0.372472","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"171","0.372473","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"172","0.372474","172.253.122.93","100.86.243.187","TLSv1.2","630","Application Data"
"173","0.372474","172.253.122.93","100.86.243.187","TLSv1.2","98","Application Data"
"174","0.372475","172.253.122.93","100.86.243.187","TLSv1.2","97","Application Data"
"175","0.372475","172.253.122.93","100.86.243.187","TLSv1.2","105","Application Data"
"176","0.372729","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=1964 Ack=179390 Win=8282 Len=0 TSval=758534884 TSecr=960944311"
"177","0.372783","100.86.243.187","172.253.122.93","TLSv1.2","105","Application Data"
"180","0.388102","172.253.122.93","100.86.243.187","TCP","66","443  >  56045 [ACK] Seq=179390 Ack=2003 Win=1458 Len=0 TSval=960944324 TSecr=758534884"
"181","0.973539","100.86.243.187","172.253.122.93","TLSv1.2","534","Application Data"
"182","0.973926","100.86.243.187","172.253.122.93","TCP","1466","56045  >  443 [ACK] Seq=2471 Ack=179390 Win=8282 Len=1400 TSval=758535485 TSecr=960944324 [TCP PDU reassembled in 183]"
"183","0.973947","100.86.243.187","172.253.122.93","TLSv1.2","211","Application Data"
"184","0.978064","100.86.243.187","172.253.122.93","TLSv1.2","101","Application Data"
"185","0.978537","100.86.243.187","172.253.122.93","TLSv1.2","101","Application Data"
"186","0.991276","172.253.122.93","100.86.243.187","TCP","66","443  >  56045 [ACK] Seq=179390 Ack=2471 Win=1457 Len=0 TSval=960944931 TSecr=758535485"
"187","0.991277","172.253.122.93","100.86.243.187","TCP","78","[TCP Dup ACK 186#1] 443  >  56045 [ACK] Seq=179390 Ack=2471 Win=1457 Len=0 TSval=960944931 TSecr=758535485 SLE=3871 SRE=4016"
"188","0.991277","172.253.122.93","100.86.243.187","TCP","66","443  >  56045 [ACK] Seq=179390 Ack=4016 Win=1451 Len=0 TSval=960944931 TSecr=758535485"
"189","0.991278","172.253.122.93","100.86.243.187","TLSv1.2","155","Application Data"
"190","0.991279","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"191","0.991647","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=4086 Ack=180879 Win=8259 Len=0 TSval=758535503 TSecr=960944932"
"192","0.991750","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"193","0.991752","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"194","0.991757","172.253.122.93","100.86.243.187","TLSv1.2","983","Application Data"
"195","0.991759","172.253.122.93","100.86.243.187","TLSv1.2","105","Application Data"
"196","0.991812","172.253.122.93","100.86.243.187","TLSv1.2","155","Application Data"
"197","0.991813","172.253.122.93","100.86.243.187","TLSv1.2","1466","Application Data"
"198","0.991891","100.86.243.187","172.253.122.93","TCP","66","56045  >  443 [ACK] Seq=4086 Ack=184635 Win=8201 Len=0 TSval=758535503 TSecr=960944932"
