"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.166","23.39.213.4","TLSv1.2","5374","Application Data"
"2","0.036051","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=2921 Win=9937 Len=0"
"3","0.036051","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=5321 Win=9947 Len=0"
"4","0.137124","23.39.213.4","192.168.1.166","TLSv1.2","477","Application Data"
"5","0.137124","23.39.213.4","192.168.1.166","TLSv1.2","713","Application Data"
"6","0.137154","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=5321 Ack=1083 Win=8187 Len=0"
"7","0.137565","192.168.1.166","23.39.213.4","TLSv1.2","89","Application Data"
"8","0.212907","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1083 Ack=5356 Win=9949 Len=0"
"9","1.741790","192.168.1.166","23.39.213.4","TLSv1.2","5206","Application Data"
"10","1.741874","192.168.1.166","23.39.213.4","TLSv1.2","538","Application Data"
"11","1.744574","192.168.1.166","23.39.213.4","TLSv1.2","5206","Application Data"
"12","1.744641","192.168.1.166","23.39.213.4","TLSv1.2","1173","Application Data"
"13","1.774698","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1083 Ack=6816 Win=9945 Len=0"
"14","1.774698","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1083 Ack=8276 Win=9937 Len=0"
"15","1.774698","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1083 Ack=10508 Win=9925 Len=0"
"16","1.774698","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1083 Ack=10992 Win=9922 Len=0"
"17","1.776756","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1083 Ack=12452 Win=9945 Len=0"
"18","1.776756","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1083 Ack=15372 Win=9930 Len=0"
"19","1.776756","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1083 Ack=16144 Win=9948 Len=0"
"20","1.776756","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1083 Ack=17263 Win=9946 Len=0"
"21","1.830357","192.168.1.166","23.39.213.4","TLSv1.2","5325","Application Data"
"22","1.859009","23.39.213.4","192.168.1.166","TLSv1.2","946","Application Data"
