"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","129","Application Data"
"2","0.000029","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","113","Application Data"
"3","0.013853","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","74","443  >  52116 [ACK] Seq=1 Ack=56 Win=83 Len=0"
"4","0.013853","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","74","443  >  52116 [ACK] Seq=1 Ack=95 Win=83 Len=0"
"5","0.013853","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TLSv1.2","113","Application Data"
"6","0.014934","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=40 Ack=95 Win=83 Len=1440 [TCP PDU reassembled in 14]"
"7","0.014934","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=1480 Ack=95 Win=83 Len=1440 [TCP PDU reassembled in 14]"
"8","0.014934","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=2920 Ack=95 Win=83 Len=1440 [TCP PDU reassembled in 14]"
"9","0.014934","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=4360 Ack=95 Win=83 Len=1440 [TCP PDU reassembled in 14]"
"10","0.014952","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=95 Ack=5800 Win=511 Len=0"
"11","0.015046","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [PSH, ACK] Seq=5800 Ack=95 Win=83 Len=1440 [TCP PDU reassembled in 14]"
"12","0.015046","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","7274","443  >  52116 [PSH, ACK] Seq=7240 Ack=95 Win=83 Len=7200 [TCP PDU reassembled in 14]"
"13","0.015057","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=95 Ack=14440 Win=511 Len=0"
"14","0.015519","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TLSv1.2","7274","Application Data"
"15","0.015530","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=95 Ack=21640 Win=511 Len=0"
"16","0.016085","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","109","Application Data"
"17","0.018149","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=21640 Ack=95 Win=83 Len=1440 [TCP PDU reassembled in 18]"
"18","0.018149","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TLSv1.2","324","Application Data"
"19","0.018180","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=130 Ack=23330 Win=511 Len=0"
"20","0.022827","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","174","Application Data"
"21","0.022901","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","168","Application Data"
"22","0.029479","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","168","Application Data"
"23","0.030270","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","110","Application Data"
"24","0.030299","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","110","Application Data"
"25","0.031262","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","168","Application Data"
"26","0.033628","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TLSv1.2","171","Application Data"
"27","0.038866","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","74","443  >  52116 [ACK] Seq=23330 Ack=324 Win=83 Len=0"
"28","0.038866","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","7274","443  >  52116 [PSH, ACK] Seq=23330 Ack=324 Win=83 Len=7200 [TCP PDU reassembled in 30]"
"29","0.038901","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=681 Ack=30530 Win=511 Len=0"
"30","0.040789","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TLSv1.2","14474","Application Data"
"31","0.040817","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=681 Ack=44930 Win=511 Len=0"
"32","0.041182","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","5834","443  >  52116 [ACK] Seq=44930 Ack=324 Win=83 Len=5760 [TCP PDU reassembled in 34]"
"33","0.041199","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=681 Ack=50690 Win=511 Len=0"
"34","0.041320","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TLSv1.2","1514","Application Data"
"35","0.041333","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=681 Ack=52130 Win=511 Len=0"
"36","0.046201","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=52130 Ack=324 Win=83 Len=1440 [TCP PDU reassembled in 41]"
"37","0.046201","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=53570 Ack=324 Win=83 Len=1440 [TCP PDU reassembled in 41]"
"38","0.046201","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=55010 Ack=324 Win=83 Len=1440 [TCP PDU reassembled in 41]"
"39","0.046201","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=56450 Ack=324 Win=83 Len=1440 [TCP PDU reassembled in 41]"
"40","0.046201","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [PSH, ACK] Seq=57890 Ack=324 Win=83 Len=1440 [TCP PDU reassembled in 41]"
"41","0.046201","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TLSv1.2","937","Application Data"
"42","0.046201","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","74","443  >  52116 [ACK] Seq=60193 Ack=584 Win=83 Len=0"
"43","0.046201","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","7274","443  >  52116 [PSH, ACK] Seq=60193 Ack=584 Win=83 Len=7200 [TCP PDU reassembled in 47]"
"44","0.046271","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=681 Ack=67393 Win=511 Len=0"
"45","0.047055","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","7274","443  >  52116 [PSH, ACK] Seq=67393 Ack=584 Win=83 Len=7200 [TCP PDU reassembled in 47]"
"46","0.047074","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=681 Ack=74593 Win=511 Len=0"
"47","0.047706","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TLSv1.2","4394","Application Data"
"48","0.047706","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TLSv1.2","434","Application Data"
"49","0.047722","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","2620:0:861:ed1a::1","TCP","74","52116  >  443 [ACK] Seq=681 Ack=79273 Win=511 Len=0"
"50","0.049035","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TLSv1.2","1438","Application Data"
"51","0.049035","2620:0:861:ed1a::1","2600:4040:13e3:bf00:149c:2c75:cfa0:ed7d","TCP","1514","443  >  52116 [ACK] Seq=80637 Ack=681 Win=83 Len=1440 [TCP PDU reassembled in 52]"
